Unit name,Time From,Time To,Heat Demand,Produced heat,Electricity Price,Electricity usage,Expenses,Primary energy,CO2
GM,07/11/2023 09:00:00,07/11/2023 10:00:00,2.220446049250313E-16,2.220446049250313E-16,788.25,-1.665334536937735E-16,1.1297907054341749E-13,1.1719020815487764E-16,3.9474596431116676E-14
GB,07/11/2023 10:00:00,07/11/2023 11:00:00,1.83,1.83,686.78,0,915,0.4026,78.69
GB,07/11/2023 11:00:00,07/11/2023 12:00:00,1.92,1.92,489.38,0,960,0.42240000000000005,82.56
EK,07/11/2023 12:00:00,07/11/2023 13:00:00,1.93,1.93,422.85,1.93,912.6005,0,0
EK,07/11/2023 13:00:00,07/11/2023 14:00:00,1.91,1.91,347.93,1.91,760.0463,0,0
EK,07/11/2023 14:00:00,07/11/2023 15:00:00,1.72,1.72,355.43,1.72,697.3396,0,0
EK,07/11/2023 15:00:00,07/11/2023 16:00:00,1.64,1.64,434.1,1.64,793.924,0,0
GB,07/11/2023 16:00:00,07/11/2023 17:00:00,1.59,1.59,510,0,795,0.34980000000000006,68.37
GB,07/11/2023 17:00:00,07/11/2023 18:00:00,1.53,1.53,698.4,0,765,0.3366,65.78999999999999
GM,07/11/2023 18:00:00,07/11/2023 19:00:00,1.61,1.61,855,-1.2075000000000002,738.5874999999999,0.8497222222222223,286.22222222222223
GM,07/11/2023 19:00:00,07/11/2023 20:00:00,1.69,1.69,1061.63,-1.2675,513.383975,0.8919444444444444,300.44444444444446
GM,07/11/2023 20:00:00,07/11/2023 21:00:00,1.65,1.65,1200.15,-1.2375,329.8143749999997,0.8708333333333332,293.3333333333333
GM,07/11/2023 21:00:00,07/11/2023 22:00:00,1.62,1.62,1005.68,-1.215,560.0988,0.855,288
GM,07/11/2023 22:00:00,07/11/2023 23:00:00,1.56,1.56,892.5,-1.1700000000000002,671.7749999999999,0.8233333333333334,277.33333333333337
GB,07/11/2023 23:00:00,07/12/2023 00:00:00,1.62,1.62,772.73,0,810,0.35640000000000005,69.66
GB,07/12/2023 00:00:00,07/12/2023 01:00:00,1.7,1.6999999999999997,738.53,0,850,0.374,73.1
GM,07/12/2023 00:00:00,07/12/2023 01:00:00,2.220446049250313E-16,2.220446049250313E-16,738.53,-1.665334536937735E-16,1.212591138610719E-13,1.1719020815487764E-16,3.9474596431116676E-14
GB,07/12/2023 01:00:00,07/12/2023 02:00:00,1.66,1.6599999999999997,682.5,0,830,0.36519999999999997,71.38
GM,07/12/2023 01:00:00,07/12/2023 02:00:00,2.220446049250313E-16,2.220446049250313E-16,682.5,-1.665334536937735E-16,1.3058998327153401E-13,1.1719020815487764E-16,3.9474596431116676E-14
GB,07/12/2023 02:00:00,07/12/2023 03:00:00,1.62,1.62,675,0,810,0.35640000000000005,69.66
GB,07/12/2023 03:00:00,07/12/2023 04:00:00,1.55,1.55,615.68,0,775,0.341,66.65
GB,07/12/2023 04:00:00,07/12/2023 05:00:00,1.58,1.58,580.5,0,790,0.3476,67.94
GB,07/12/2023 05:00:00,07/12/2023 06:00:00,1.61,1.61,570,0,805,0.3542,69.23
GB,07/12/2023 06:00:00,07/12/2023 07:00:00,1.66,1.6599999999999997,661.65,0,830,0.36519999999999997,71.38
GM,07/12/2023 06:00:00,07/12/2023 07:00:00,2.220446049250313E-16,2.220446049250313E-16,661.65,-1.665334536937735E-16,1.340622057810492E-13,1.1719020815487764E-16,3.9474596431116676E-14
GM,07/12/2023 07:00:00,07/12/2023 08:00:00,1.75,1.75,865.5,-1.3125,789.0312499999998,0.923611111111111,311.1111111111111
GM,07/12/2023 08:00:00,07/12/2023 09:00:00,1.78,1.78,900,-1.3350000000000002,756.5,0.9394444444444444,316.44444444444446
GB,07/12/2023 09:00:00,07/12/2023 10:00:00,1.76,1.7599999999999998,767.48,0,880,0.3872,75.67999999999999
GM,07/12/2023 09:00:00,07/12/2023 10:00:00,2.220446049250313E-16,2.220446049250313E-16,767.48,-1.665334536937735E-16,1.1643797037663714E-13,1.1719020815487764E-16,3.9474596431116676E-14
GB,07/12/2023 10:00:00,07/12/2023 11:00:00,1.76,1.7599999999999998,622.5,0,880,0.3872,75.67999999999999
GM,07/12/2023 10:00:00,07/12/2023 11:00:00,2.220446049250313E-16,2.220446049250313E-16,622.5,-1.665334536937735E-16,1.4058199049316045E-13,1.1719020815487764E-16,3.9474596431116676E-14
EK,07/12/2023 11:00:00,07/12/2023 12:00:00,1.94,1.94,380.78,1.94,835.7131999999999,0,0
EK,07/12/2023 12:00:00,07/12/2023 13:00:00,1.86,1.86,119.03,1.86,314.3958,0,0
EK,07/12/2023 13:00:00,07/12/2023 14:00:00,1.79,1.79,96.9,1.79,262.951,0,0
EK,07/12/2023 14:00:00,07/12/2023 15:00:00,1.62,1.62,144.98,1.62,315.86760000000004,0,0
EK,07/12/2023 15:00:00,07/12/2023 16:00:00,1.55,1.55,202.73,1.55,391.7315,0,0
EK,07/12/2023 16:00:00,07/12/2023 17:00:00,1.55,1.55,221.18,1.55,420.329,0,0
EK,07/12/2023 17:00:00,07/12/2023 18:00:00,1.53,1.53,328.65,1.53,579.3344999999999,0,0
EK,07/12/2023 18:00:00,07/12/2023 19:00:00,1.56,1.56,375.45,1.56,663.702,0,0
GB,07/12/2023 19:00:00,07/12/2023 20:00:00,1.59,1.59,601.95,0,795,0.34980000000000006,68.37
GM,07/12/2023 20:00:00,07/12/2023 21:00:00,1.61,1.61,1043.25,-1.2075000000000002,511.275625,0.8497222222222223,286.22222222222223
GM,07/12/2023 21:00:00,07/12/2023 22:00:00,1.61,1.61,939,-1.2075000000000002,637.1574999999998,0.8497222222222223,286.22222222222223
GM,07/12/2023 22:00:00,07/12/2023 23:00:00,1.67,1.67,945.08,-1.2525,653.2873,0.8813888888888888,296.88888888888886
GM,07/12/2023 23:00:00,07/13/2023 00:00:00,1.66,1.66,854.33,-1.245,762.35915,0.8761111111111111,295.1111111111111
GB,07/13/2023 00:00:00,07/13/2023 01:00:00,1.67,1.67,786.9,0,835,0.3674,71.80999999999999
GB,07/13/2023 01:00:00,07/13/2023 02:00:00,1.65,1.65,642.45,0,825,0.363,70.94999999999999
GB,07/13/2023 02:00:00,07/13/2023 03:00:00,1.6,1.6,592.5,0,800,0.35200000000000004,68.8
GB,07/13/2023 03:00:00,07/13/2023 04:00:00,1.55,1.55,563.18,0,775,0.341,66.65
GB,07/13/2023 04:00:00,07/13/2023 05:00:00,1.6,1.6,570,0,800,0.35200000000000004,68.8
GB,07/13/2023 05:00:00,07/13/2023 06:00:00,1.68,1.6799999999999997,663.83,0,840,0.3696,72.24
GM,07/13/2023 05:00:00,07/13/2023 06:00:00,2.220446049250313E-16,2.220446049250313E-16,663.83,-1.665334536937735E-16,1.3369916285199678E-13,1.1719020815487764E-16,3.9474596431116676E-14
GB,07/13/2023 06:00:00,07/13/2023 07:00:00,1.71,1.71,766.73,0,855,0.3762,73.52999999999999
GM,07/13/2023 07:00:00,07/13/2023 08:00:00,1.78,1.78,828.53,-1.3350000000000002,851.91245,0.9394444444444444,316.44444444444446
GM,07/13/2023 08:00:00,07/13/2023 09:00:00,2.04,2.04,893.25,-1.53,877.3274999999999,1.0766666666666667,362.66666666666663
GB,07/13/2023 09:00:00,07/13/2023 10:00:00,2.02,2.02,652.2,0,1010,0.4444000000000001,86.86
EK,07/13/2023 10:00:00,07/13/2023 11:00:00,1.8,1.8,365.78,1.8,748.404,0,0
EK,07/13/2023 11:00:00,07/13/2023 12:00:00,1.73,1.73,356.93,1.73,703.9889000000001,0,0
EK,07/13/2023 12:00:00,07/13/2023 13:00:00,1.72,1.72,370.43,1.72,723.1396,0,0
EK,07/13/2023 13:00:00,07/13/2023 14:00:00,1.62,1.62,348.75,1.62,645.975,0,0
EK,07/13/2023 14:00:00,07/13/2023 15:00:00,1.62,1.62,348.75,1.62,645.975,0,0
EK,07/13/2023 15:00:00,07/13/2023 16:00:00,1.67,1.67,350.63,1.67,669.0521,0,0
EK,07/13/2023 16:00:00,07/13/2023 17:00:00,1.61,1.61,338.03,1.61,624.7283,0,0
EK,07/13/2023 17:00:00,07/13/2023 18:00:00,1.65,1.65,351.98,1.65,663.267,0,0
